סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
1233 ,שקף ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,613 ,87 ,186 ,234 ,35 ,21 ,50
1234 ,קבועה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,1452 ,14 ,545 ,678 ,107 ,55 ,53
1235 ,שורשים ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,686 ,40 ,168 ,243 ,92 ,58 ,85
1236 ,נירית ,42 ,פתח תקווה ,349 ,ראש העין ,20 ,דרום השרון ,1098 ,54 ,163 ,364 ,132 ,146 ,239
1237 ,תלמי יוסף ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,393 ,18 ,81 ,135 ,54 ,33 ,72
1238 ,סופה ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,262 ,24 ,39 ,107 ,20 ,47 ,25
1239 ,חולית ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,219 ,17 ,48 ,98 ,25 ,19 ,12
1240 ,עין הבשור ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,1182 ,41 ,324 ,358 ,252 ,65 ,142
1241 ,דקל ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,458 ,28 ,126 ,142 ,65 ,28 ,69
1242 ,נתיב העשרה ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,1100 ,67 ,258 ,379 ,191 ,73 ,132
1243 ,קציר ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,3194 ,157 ,721 ,1076 ,468 ,427 ,345
1244 ,תמרת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1594 ,138 ,277 ,484 ,152 ,146 ,397
1245 ,סלמה ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,3872 ,417 ,949 ,1677 ,420 ,207 ,202
1246 ,עראמשה ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1701 ,152 ,415 ,684 ,190 ,117 ,143
1247 ,חריש ,32 ,חדרה ,32 ,חדרה ,0 , ,37586 ,6744 ,10520 ,14134 ,2800 ,1416 ,1972
1248 ,אליפז ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,207 ,9 ,59 ,71 ,31 ,29 ,8
1249 ,הרדוף ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,670 ,58 ,139 ,251 ,79 ,91 ,52
1251 ,עין תמר ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר ,229 ,17 ,51 ,78 ,27 ,21 ,35
1252 ,כורזים ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,454 ,36 ,56 ,168 ,27 ,45 ,122
1253 ,אמנון ,22 ,כנרת ,22 ,טבריה ,55 ,מבואות החרמון ,532 ,57 ,117 ,176 ,47 ,43 ,92
1254 ,נטף ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,569 ,87 ,96 ,220 ,36 ,33 ,97
1255 ,לוטן ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,266 ,20 ,45 ,97 ,37 ,52 ,15
1256 ,אשרת ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,657 ,42 ,143 ,218 ,79 ,62 ,113
1257 ,חנתון ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,980 ,54 ,342 ,293 ,172 ,54 ,65
1258 ,מסד ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,454 ,45 ,98 ,164 ,40 ,59 ,48
1259 ,נווה שלום ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,380 ,34 ,74 ,149 ,36 ,37 ,50
1260 ,רתמים ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,846 ,135 ,397 ,298 ,11 ,2 ,3
1261 ,הר עמשא ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר ,261 ,41 ,82 ,95 ,15 ,14 ,14
1262 ,צוקים ,62 ,באר שבע ,62 ,באר שבע ,54 ,הערבה התיכונה ,408 ,30 ,129 ,113 ,89 ,27 ,20
1263 ,כפר ורדים ,24 ,עכו ,24 ,עכו ,0 , ,6267 ,223 ,1237 ,1910 ,891 ,694 ,1312
1264 ,כרמי יוסף ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1983 ,155 ,386 ,600 ,205 ,172 ,465
1265 ,שומריה ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,838 ,108 ,359 ,265 ,41 ,36 ,29
1266 ,שחרות ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,178 ,14 ,21 ,76 ,24 ,26 ,17
1267 ,שיטים ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,4 ,0 ,0 ,3 ,1 ,0 ,0
1268 ,מיתר ,62 ,באר שבע ,62 ,באר שבע ,0 , ,12568 ,781 ,3562 ,4261 ,1718 ,907 ,1339
1271 ,להבים ,62 ,באר שבע ,62 ,באר שבע ,0 , ,7720 ,472 ,1607 ,2479 ,914 ,797 ,1451
1272 ,חלוץ ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,646 ,24 ,158 ,227 ,84 ,90 ,63
1274 ,גן נר ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,2889 ,148 ,554 ,1113 ,381 ,369 ,324
1275 ,אבטליון ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,501 ,15 ,159 ,154 ,99 ,55 ,19
1276 ,אשבל ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,123 ,22 ,26 ,52 ,23 ,0 ,0
1278 ,באר מילכה ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,225 ,17 ,85 ,70 ,42 ,8 ,3
1279 ,נווה חריף ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,111 ,8 ,15 ,53 ,15 ,13 ,7
1280 ,ניצני סיני ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,362 ,36 ,82 ,147 ,38 ,32 ,27
1282 ,מירב ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,859 ,94 ,322 ,296 ,79 ,59 ,9
1283 ,תל תאומים ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,637 ,85 ,182 ,241 ,30 ,46 ,53
1284 ,נופית ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,2631 ,81 ,540 ,865 ,433 ,322 ,390
1285 ,כרכום ,22 ,כנרת ,21 ,צפת ,55 ,מבואות החרמון ,545 ,35 ,77 ,201 ,40 ,116 ,76
1286 ,שגב-שלום ,62 ,באר שבע ,62 ,באר שבע ,0 , ,13062 ,2052 ,4237 ,5212 ,848 ,400 ,313
1287 ,שני ,62 ,באר שבע ,62 ,באר שבע ,78 ,הר חברון ,556 ,34 ,138 ,193 ,79 ,45 ,67
1288 ,גבעת אלה ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,2104 ,122 ,448 ,646 ,250 ,194 ,444
1290 ,זמר ,41 ,השרון ,41 ,נתניה ,0 , ,7870 ,742 ,1855 ,3266 ,801 ,602 ,604
1291 ,כמהין ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,263 ,20 ,79 ,90 ,48 ,20 ,6
1292 ,ג'דיידה-מכר ,24 ,עכו ,24 ,עכו ,0 , ,21706 ,1645 ,4473 ,9289 ,2753 ,1952 ,1594
1293 ,גבעת אבני ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,2312 ,112 ,463 ,817 ,305 ,280 ,335
1294 ,אור הגנוז ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,657 ,80 ,232 ,212 ,75 ,47 ,11
