id_binyan,t_sug_mivne,ms_komot,gova_simplex_2019,max_height,min_height,shem_mivne,t_amudim,id_binyan_orig,UniqueId,year
35086,מבנה רגיל,1.0,11.74,56.59,44.85, ,לא,91784,513-35086,1989.0
35088,מבנה רגיל,1.0,4.42,42.5,38.08, ,לא,91730,513-35088,1958.0
35089,מבנה רגיל,1.0,3.31,48.42,45.11, ,לא,90466,513-35089,1951.0
35090,מבנה רגיל,1.0,8.55,56.51,47.96, ,לא,130657,513-35090,1953.0
35091,מבנה רגיל,1.0,8.79,52.52,43.73, ,לא,91822,513-35091,2006.0
35092,מבנה רגיל,1.0,10.23,52.07,41.84, ,לא,60025,513-35092,1979.0
35093,מבנה רגיל,1.0,8.3,50.59,42.29, ,לא,91829,513-35093,1979.0
35094,מבנה רגיל,1.0,11.17,49.15,37.98, ,לא,91729,513-35094,1952.0
35095,מבנה רגיל,1.0,5.85,46.39,40.54, ,לא,91722,513-35095,1960.0
35096,מבנה רגיל,1.0,12.12,55.17,43.05, ,לא,90464,513-35096,1954.0
35098,מבנה רגיל,1.0,10.68,54.05,43.37, ,לא,91820,513-35098,1993.0
35099,מבנה רגיל,2.0,12.53,48.38,35.85, ,לא,130697,513-35099,1993.0
35101,מבנה רגיל,1.0,7.32,45.65,38.33, ,לא,91727,513-35101,2017.0
35103,מבנה רגיל,1.0,9.22,59.54,50.32, ,לא,91782,513-35103,1959.0
35104,מבנה רגיל,2.0,11.14,55.2,44.06, ,כן,90999,513-35104,1978.0
35106,מבנה רגיל,1.0,7.47,52.06,44.59, ,לא,130659,513-35106,1960.0
35107,מבנה רגיל,1.0,9.51,60.02,50.51, ,לא,91780,513-35107,2001.0
35108,מבנה רגיל,2.0,8.4,47.27,38.87, ,לא,91725,513-35108,1989.0
35109,מבנה רגיל,1.0,10.56,54.38,43.82, ,לא,91825,513-35109,2003.0
35110,מבנה רגיל,1.0,15.1,62.88,47.78, ,לא,91777,513-35110,1976.0
35112,מבנה רגיל,2.0,15.8,51.36,35.56, ,כן,93241,513-35112,1999.0
