iter	Passed	Remaining
595	51687	78398
596	51748	78272
597	51855	78217
598	51949	78140
599	52023	78034
600	52086	77912
601	52164	77812
602	52238	77707
603	52313	77604
604	52407	77528
605	52475	77415
606	52551	77311
607	52638	77226
608	52749	77175
609	52821	77066
610	52934	77019
611	53009	76916
612	53097	76830
613	53177	76735
614	53259	76641
615	53342	76549
616	53436	76473
617	53504	76360
618	53588	76271
619	53672	76179
620	53747	76077
621	53852	76017
622	53933	75921
623	54019	75834
624	54093	75731
625	54188	75656
626	54281	75578
627	54337	75450
628	54411	75345
629	54499	75261
630	54580	75167
631	54664	75076
632	54754	74995
633	54834	74900
634	54913	74803
635	54994	74709
636	55090	74635
637	55168	74538
638	55262	74462
639	55347	74373
640	55441	74296
641	55522	74203
642	55614	74123
643	55700	74037
644	55789	73953
645	55882	73875
646	55985	73811
647	56077	73732
648	56188	73677
649	56278	73594
650	56359	73500
651	56441	73408
652	56534	73330
653	56615	73236
654	56684	73127
655	56778	73050
656	56874	72976
657	56956	72883
658	57040	72793
659	57120	72698
660	57216	72624
661	57296	72529
662	57370	72427
663	57459	72343
664	57530	72237
665	57619	72153
666	57705	72067
667	57812	72005
668	57884	71900
669	57966	71809
670	58059	71730
671	58146	71644
672	58215	71537
673	58286	71431
674	58354	71322
675	58429	71222
676	58525	71146
677	58615	71065
678	58697	70973
679	58776	70877
680	58858	70785
681	58933	70685
682	59002	70578
683	59088	70491
684	59181	70412
685	59262	70320
686	59356	70242
687	59423	70132
688	59491	70025
689	59580	69942
690	59664	69853
691	59750	69766
692	59825	69666
693	59899	69566
694	59982	69476
695	60060	69379
696	60158	69306
697	60272	69252
698	60342	69147
699	60417	69048
700	60497	68954
701	60568	68851
702	60669	68782
703	60745	68683
704	60851	68619
705	60924	68518
706	61006	68427
707	61086	68334
708	61174	68249
709	61267	68170
710	61370	68103
711	61428	67985
712	61488	67869
713	61580	67790
714	61681	67719
715	61759	67625
716	61854	67547
717	61949	67471
718	62029	67378
719	62137	67315
720	62208	67212
721	62293	67124
722	62375	67034
723	62469	66956
724	62549	66863
725	62634	66775
726	62717	66686
727	62785	66580
728	62852	66473
729	62969	66420
730	63043	66320
731	63142	66247
732	63229	66162
733	63318	66078
734	63416	66004
735	63495	65911
736	63582	65826
737	63669	65740
738	63750	65648
739	63821	65546
740	63885	65437
741	63993	65372
742	64066	65273
743	64183	65219
744	64272	65135
745	64335	65025
746	64426	64943
747	64542	64887
748	64642	64814
749	64739	64739
750	64815	64642
751	64901	64556
752	64989	64471
753	65059	64368
754	65159	64296
755	65257	64221
756	65362	64153
757	65433	64052
758	65544	63990
759	65634	63907
760	65713	63813
761	65806	63733
762	65908	63662
763	66004	63585
764	66088	63497
765	66178	63413
766	66273	63335
767	66356	63246
768	66436	63153
769	66517	63062
770	66581	62954
771	66667	62867
772	66762	62789
773	66837	62692
774	66909	62593
775	66996	62507
776	67087	62424
777	67168	62333
778	67258	62250
779	67334	62154
780	67400	62049
781	67473	61951
782	67565	61870
783	67656	61788
784	67731	61691
785	67811	61599
786	67872	61490
787	67972	61416
788	68060	61332
789	68139	61239
790	68217	61145
791	68302	61058
792	68381	60965
793	68476	60886
794	68570	60808
795	68664	60728
796	68752	60643
797	68825	60545
798	68907	60455
799	69002	60377
800	69075	60279
801	69145	60178
802	69246	60105
803	69341	60027
804	69435	59947
805	69511	59852
806	69608	59775
807	69696	59690
808	69761	59586
809	69830	59485
810	69913	59396
811	70003	59313
812	70098	59234
813	70183	59147
814	70288	59076
815	70390	59004
816	70489	58928
817	70569	58836
818	70647	58743
819	70732	58656
820	70819	58570
821	70893	58474
822	70990	58396
823	71075	58309
824	71191	58247
825	71275	58159
826	71365	58075
827	71468	58003
828	71549	57912
829	71641	57831
830	71732	57748
831	71807	57653
832	71884	57559
833	71974	57475
834	72058	57388
835	72150	57306
836	72222	57208
837	72325	57135
838	72420	57056
839	72489	56955
840	72584	56876
841	72666	56786
842	72749	56697
843	72837	56612
844	72927	56529
845	73004	56436
846	73091	56350
847	73175	56261
848	73248	56165
849	73323	56071
850	73391	55970
851	73463	55873
852	73551	55788
853	73660	55720
854	73737	55626
855	73819	55536
856	73885	55435
857	73976	55352
858	74076	55276
859	74202	55220
860	74264	55116
861	74348	55028
862	74453	54956
863	74553	54879
864	74644	54796
865	74737	54715
866	74826	54630
867	74929	54557
868	75029	54480
869	75114	54393
870	75183	54294
871	75263	54203
872	75336	54107
873	75416	54016
874	75513	53938
875	75600	53852
876	75699	53775
877	75787	53689
878	75864	53596
879	75979	53531
880	76076	53451
881	76164	53367
882	76269	53293
883	76363	53212
884	76459	53132
885	76556	53053
886	76657	52977
887	76731	52882
888	76835	52808
889	76935	52731
890	77004	52632
891	77073	52534
892	77153	52443
893	77243	52359
894	77323	52268
895	77409	52182
896	77499	52098
897	77568	52000
898	77649	51910
899	77731	51821
900	77832	51744
901	77914	51654
902	77997	51566
903	78064	51467
904	78154	51383
905	78217	51281
906	78299	51192
907	78392	51110
908	78483	51027
909	78561	50935
910	78675	50866
911	78770	50786
912	78864	50704
913	78944	50614
914	79042	50535
915	79137	50454
916	79195	50349
917	79274	50258
918	79365	50175
919	79439	50081
920	79535	50001
921	79642	49927
922	79717	49834
923	79810	49752
924	79891	49662
